Longitude,Latitude,Decimal year,Month,Day,Magnitude,Depth,Hour,Minute,Second,Seismic Moment,Seismic Energy,Year
95.96,3.03,1960.005376344086,1,2,5.0,0.0,5,6,0.0,3.162277660168379e+16,505964425626.94073,1960
94.7,6.53,1960.018817204301,1,7,5.9,0.0,8,15,0.0,7.079457843841403e+17,11327132550146.246,1960
94.68,6.67,1960.018817204301,1,7,6.0,0.0,23,17,0.0,1e+18,16000000000000.002,1960
70.08,36.47,1960.024193548387,1,9,6.7,231.0,7,24,0.0,1.122018454301956e+19,179522952688313.0,1960
95.99,16.1,1960.029569892473,1,11,5.8,0.0,3,10,0.0,5.011872336272756e+17,8018995738036.411,1960
70.63,36.48,1960.0779569892472,1,29,6.1,204.0,7,33,0.0,1.4125375446227497e+18,22600600713964.0,1960
71.04,36.57,1960.1379310344828,2,19,6.8,208.0,10,36,0.0,1.5848931924611238e+19,253582910793779.84,1960
94.24,7.45,1960.1774193548388,3,4,6.0,0.0,21,5,0.0,1e+18,16000000000000.002,1960
55.35,34.48,1960.185483870968,3,7,4.0,0.0,0,51,0.0,1000000000000000.0,16000000000.000002,1960
70.85,36.49,1960.305555555556,4,20,5.5,194.0,19,23,0.0,1.778279410038923e+17,2845247056062.277,1960
54.43,27.71,1960.3166666666664,4,24,6.0,0.0,12,14,0.0,1e+18,16000000000000.002,1960
99.58,29.85,1960.3413978494625,5,3,5.5,0.0,7,55,0.0,1.778279410038923e+17,2845247056062.277,1960
53.13,27.12,1960.381720430108,5,18,5.2,0.0,8,41,0.0,6.309573444801891e+16,1009531751168.3027,1960
71.14,36.31,1960.3844086021504,5,19,6.5,101.0,2,6,0.0,5.623413251903491e+18,89974612030455.88,1960
65.79,18.06,1960.3844086021504,5,19,6.0,0.0,10,12,0.0,1e+18,16000000000000.002,1960
53.13,27.45,1960.3870967741937,5,20,5.0,53.0,4,14,0.0,3.162277660168379e+16,505964425626.94073,1960
92.68,26.82,1960.403225806452,5,26,5.0,0.0,20,5,0.0,3.162277660168379e+16,505964425626.94073,1960
60.34,33.17,1960.4222222222224,6,2,5.2,0.0,7,22,0.0,6.309573444801891e+16,1009531751168.3027,1960
56.93,13.77,1960.4361111111111,6,7,4.8,0.0,15,34,0.0,1.5848931924611238e+16,253582910793.77985,1960
68.52,-2.06,1960.4611111111112,6,16,5.9,0.0,10,20,0.0,7.079457843841403e+17,11327132550146.246,1960
57.71,11.76,1960.4777777777776,6,22,4.5,0.0,16,12,0.0,5623413251903491.0,89974612030.45587,1960
70.66,36.5,1960.516129032258,7,6,6.6,207.0,5,16,0.0,7.943282347242789e+18,127092517555884.64,1960
98.24,0.5,1960.52688172043,7,10,6.5,73.0,0,5,0.0,5.623413251903491e+18,89974612030455.88,1960
53.0,26.5,1960.52688172043,7,10,5.0,0.0,13,49,0.0,3.162277660168379e+16,505964425626.94073,1960
69.95,35.84,1960.537634408602,7,14,4.5,90.0,22,11,0.0,5623413251903491.0,89974612030.45587,1960
69.81,36.84,1960.5456989247311,7,17,5.9,41.0,5,14,0.0,7.079457843841403e+17,11327132550146.246,1960
94.44,7.22,1960.548387096774,7,18,5.8,98.0,0,54,0.0,5.011872336272756e+17,8018995738036.411,1960
56.5,32.0,1960.5672043010752,7,25,5.0,0.0,21,11,0.0,3.162277660168379e+16,505964425626.94073,1960
90.38,26.47,1960.5779569892472,7,29,5.5,0.0,10,42,0.0,1.778279410038923e+17,2845247056062.277,1960
67.14,31.93,1960.5779569892472,7,29,5.4,0.0,14,33,0.0,1.2589254117941714e+17,2014280658870.6746,1960
54.42,28.07,1960.5833333333333,7,31,5.0,0.0,22,26,0.0,3.162277660168379e+16,505964425626.94073,1960
54.38,28.12,1960.5860215053765,8,1,5.5,62.0,2,20,0.0,1.778279410038923e+17,2845247056062.277,1960
69.55,36.0,1960.620967741936,8,14,5.0,53.0,22,37,0.0,3.162277660168379e+16,505964425626.94073,1960
88.5,27.0,1960.639784946237,8,21,5.0,29.0,3,29,0.0,3.162277660168379e+16,505964425626.94073,1960
95.79,32.51,1960.7444444444443,9,28,5.0,0.0,5,29,0.0,3.162277660168379e+16,505964425626.94073,1960
